CallerLibrary	InterfaceLibrary	InterfaceName	CallerMethod	CalleeMethod	ImplName	Counts
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::canRead(Ljava/lang/reflect/Type;Ljava/lang/Class;Lorg/springframework/http/MediaType;)Z"	"com.fasterxml.jackson.databind.ObjectMapper::canDeserialize(Lcom/fasterxml/jackson/databind/JavaType;)Z"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::canRead(Ljava/lang/reflect/Type;Ljava/lang/Class;Lorg/springframework/http/MediaType;)Z"	"com.fasterxml.jackson.databind.ObjectMapper::canDeserialize(Lcom/fasterxml/jackson/databind/JavaType;Ljava/util/concurrent/atomic/AtomicReference;)Z"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::canWrite(Ljava/lang/Class;Lorg/springframework/http/MediaType;)Z"	"com.fasterxml.jackson.databind.ObjectMapper::canSerialize(Ljava/lang/Class;)Z"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::canWrite(Ljava/lang/Class;Lorg/springframework/http/MediaType;)Z"	"com.fasterxml.jackson.databind.ObjectMapper::canSerialize(Ljava/lang/Class;Ljava/util/concurrent/atomic/AtomicReference;)Z"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::configurePrettyPrint()V"	"com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/databind/SerializationFeature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::getJavaType(Ljava/lang/reflect/Type;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/JavaType;"	"com.fasterxml.jackson.databind.ObjectMapper::getTypeFactory()Lcom/fasterxml/jackson/databind/type/TypeFactory;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::readJavaType(Lcom/fasterxml/jackson/databind/JavaType;Lorg/springframework/http/HttpInputMessage;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper::readerWithView(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/ObjectReader;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::readJavaType(Lcom/fasterxml/jackson/databind/JavaType;Lorg/springframework/http/HttpInputMessage;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/io/InputStream;Lcom/fasterxml/jackson/databind/JavaType;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::writeInternal(Ljava/lang/Object;Ljava/lang/reflect/Type;Lorg/springframework/http/HttpOutputMessage;)V"	"com.fasterxml.jackson.databind.ObjectMapper::writer()Lcom/fasterxml/jackson/databind/ObjectWriter;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::writeInternal(Ljava/lang/Object;Ljava/lang/reflect/Type;Lorg/springframework/http/HttpOutputMessage;)V"	"com.fasterxml.jackson.databind.ObjectMapper::writer(Lcom/fasterxml/jackson/databind/ser/FilterProvider;)Lcom/fasterxml/jackson/databind/ObjectWriter;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::writeInternal(Ljava/lang/Object;Ljava/lang/reflect/Type;Lorg/springframework/http/HttpOutputMessage;)V"	"com.fasterxml.jackson.databind.ObjectMapper::writerWithView(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/ObjectWriter;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::addMixIn(Ljava/lang/Class;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::findModules(Ljava/lang/ClassLoader;)Ljava/util/List;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::registerModule(Lcom/fasterxml/jackson/databind/Module;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::registerModules(Ljava/lang/Iterable;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setAnnotationIntrospector(Lcom/fasterxml/jackson/databind/AnnotationIntrospector;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setDateFormat(Ljava/text/DateFormat;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setDefaultTyping(Lcom/fasterxml/jackson/databind/jsontype/TypeResolverBuilder;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setFilterProvider(Lcom/fasterxml/jackson/databind/ser/FilterProvider;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setHandlerInstantiator(Lcom/fasterxml/jackson/databind/cfg/HandlerInstantiator;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setLocale(Ljava/util/Locale;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setPropertyNamingStrategy(Lcom/fasterxml/jackson/databind/PropertyNamingStrategy;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setSerializationInclusion(Lcom/fasterxml/jackson/annotation/JsonInclude$Include;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setTimeZone(Ljava/util/TimeZone;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configureFeature(Lcom/fasterxml/jackson/databind/ObjectMapper;Ljava/lang/Object;Z)V"	"com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/core/JsonGenerator$Feature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configureFeature(Lcom/fasterxml/jackson/databind/ObjectMapper;Ljava/lang/Object;Z)V"	"com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/core/JsonParser$Feature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configureFeature(Lcom/fasterxml/jackson/databind/ObjectMapper;Ljava/lang/Object;Z)V"	"com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/databind/DeserializationFeature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configureFeature(Lcom/fasterxml/jackson/databind/ObjectMapper;Ljava/lang/Object;Z)V"	"com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/databind/MapperFeature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configureFeature(Lcom/fasterxml/jackson/databind/ObjectMapper;Ljava/lang/Object;Z)V"	"com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/databind/SerializationFeature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::registerWellKnownModulesIfAvailable(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::registerModule(Lcom/fasterxml/jackson/databind/Module;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-websocket:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.web.socket.sockjs.frame.Jackson2SockJsMessageCodec::decode(Ljava/lang/String;)[Ljava/lang/String;"	"com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-websocket:4.3.7.RELEASE"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.web.socket.sockjs.frame.Jackson2SockJsMessageCodec::decodeInputStream(Ljava/io/InputStream;)[Ljava/lang/String;"	"com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/io/InputStream;Ljava/lang/Class;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"com.github.fakemongo:fongo:2.0.3"	"com.fasterxml.jackson.core:jackson-core:2.10.3"	"com.fasterxml.jackson.core.ObjectCodec"	"com.github.fakemongo.impl.geo.GeoUtil::coordinate(Ljava/lang/Object;)Lcom/vividsolutions/jts/geom/Coordinate;"	"com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"com.github.fakemongo:fongo:2.0.3"	"com.fasterxml.jackson.core:jackson-core:2.10.3"	"com.fasterxml.jackson.core.ObjectCodec"	"com.github.fakemongo.impl.geo.GeoUtil::toGeometry(Lcom/mongodb/DBObject;)Lcom/vividsolutions/jts/geom/Geometry;"	"com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"io.springfox:springfox-schema:2.6.1"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"springfox.documentation.schema.property.ObjectMapperBeanPropertyNamingStrategy::nameForDeserialization(Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;)Ljava/lang/String;"	"com.fasterxml.jackson.databind.ObjectMapper::getDeserializationConfig()Lcom/fasterxml/jackson/databind/DeserializationConfig;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"io.springfox:springfox-schema:2.6.1"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"springfox.documentation.schema.property.ObjectMapperBeanPropertyNamingStrategy::nameForSerialization(Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;)Ljava/lang/String;"	"com.fasterxml.jackson.databind.ObjectMapper::getSerializationConfig()Lcom/fasterxml/jackson/databind/SerializationConfig;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"io.springfox:springfox-schema:2.6.1"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"springfox.documentation.schema.property.OptimizedModelPropertiesProvider::beanDescription(Lcom/fasterxml/classmate/ResolvedType;Lspringfox/documentation/spi/schema/contexts/ModelContext;)Lcom/fasterxml/jackson/databind/BeanDescription;"	"com.fasterxml.jackson.databind.ObjectMapper::getDeserializationConfig()Lcom/fasterxml/jackson/databind/DeserializationConfig;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"io.springfox:springfox-schema:2.6.1"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"springfox.documentation.schema.property.OptimizedModelPropertiesProvider::beanDescription(Lcom/fasterxml/classmate/ResolvedType;Lspringfox/documentation/spi/schema/contexts/ModelContext;)Lcom/fasterxml/jackson/databind/BeanDescription;"	"com.fasterxml.jackson.databind.ObjectMapper::getSerializationConfig()Lcom/fasterxml/jackson/databind/SerializationConfig;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"io.springfox:springfox-spring-web:2.6.1"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"springfox.documentation.spring.web.json.JsonSerializer::toJson(Ljava/lang/Object;)Lspringfox/documentation/spring/web/json/Json;"	"com.fasterxml.jackson.databind.ObjectMapper::writeValueAsString(Ljava/lang/Object;)Ljava/lang/String;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::canRead(Ljava/lang/reflect/Type;Ljava/lang/Class;Lorg/springframework/http/MediaType;)Z"	"com.fasterxml.jackson.databind.ObjectMapper::canDeserialize(Lcom/fasterxml/jackson/databind/JavaType;Ljava/util/concurrent/atomic/AtomicReference;)Z"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::canWrite(Ljava/lang/Class;Lorg/springframework/http/MediaType;)Z"	"com.fasterxml.jackson.databind.ObjectMapper::canSerialize(Ljava/lang/Class;Ljava/util/concurrent/atomic/AtomicReference;)Z"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::configurePrettyPrint()V"	"com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/databind/SerializationFeature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::getJavaType(Ljava/lang/reflect/Type;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/JavaType;"	"com.fasterxml.jackson.databind.ObjectMapper::getTypeFactory()Lcom/fasterxml/jackson/databind/type/TypeFactory;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::readJavaType(Lcom/fasterxml/jackson/databind/JavaType;Lorg/springframework/http/HttpInputMessage;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper::readerWithView(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/ObjectReader;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::readJavaType(Lcom/fasterxml/jackson/databind/JavaType;Lorg/springframework/http/HttpInputMessage;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/io/InputStream;Lcom/fasterxml/jackson/databind/JavaType;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::writeInternal(Ljava/lang/Object;Ljava/lang/reflect/Type;Lorg/springframework/http/HttpOutputMessage;)V"	"com.fasterxml.jackson.databind.ObjectMapper::writer()Lcom/fasterxml/jackson/databind/ObjectWriter;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::writeInternal(Ljava/lang/Object;Ljava/lang/reflect/Type;Lorg/springframework/http/HttpOutputMessage;)V"	"com.fasterxml.jackson.databind.ObjectMapper::writerWithView(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/ObjectWriter;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::findModules(Ljava/lang/ClassLoader;)Ljava/util/List;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::registerModule(Lcom/fasterxml/jackson/databind/Module;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::registerModules(Ljava/lang/Iterable;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setAnnotationIntrospector(Lcom/fasterxml/jackson/databind/AnnotationIntrospector;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setDateFormat(Ljava/text/DateFormat;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
