Class,Method,Field Name:Field Signature,Annotated In Library,Annotation,Annotation Visibility,Annotation Library,Count
org.springframework.format.datetime.standard.DateTimeConverters$CalendarToLocalDateTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.YearMonthFormatter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
com.alibaba.fastjson.support.spring.FastJsonViewResponseBodyAdvice,-,-,com.alibaba:fastjson:1.2.76,org.springframework.core.annotation.Order,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$CalendarToZonedDateTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.jersey.message.internal.FormMultivaluedMapProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.apache.cxf.transport.http.HTTPConduit,-,-,org.apache.cxf:cxf-rt-transports-http:3.1.2,org.apache.cxf.common.injection.NoJSR250Annotations,public,org.apache.cxf:cxf-core:3.1.2,1
org.jvnet.hk2.internal.DynamicConfigurationServiceImpl,-,-,org.glassfish.hk2:hk2-locator:2.5.0-b05,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.jvnet.hk2.internal.DefaultClassAnalyzer,-,-,org.glassfish.hk2:hk2-locator:2.5.0-b05,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.format.datetime.standard.DurationFormatter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.jersey.message.internal.SourceProvider$SaxSourceReader,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
com.alibaba.fastjson.support.jaxrs.FastJsonProvider,-,-,com.alibaba:fastjson:1.2.76,javax.ws.rs.ext.Provider,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.glassfish.jersey.message.internal.SourceProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.format.datetime.standard.DateTimeConverters$OffsetDateTimeToLocalTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.hk2.api.PerThread,-,-,org.glassfish.hk2:hk2-api:2.5.0-b05,javax.inject.Scope,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.logging.ServerLoggingFilter,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.ws.rs.container.PreMatching,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.springframework.web.servlet.mvc.method.annotation.DeferredResultMethodReturnValueHandler$CompletionStageAdapter,-,-,org.springframework:spring-webmvc:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.web.bind.annotation.ControllerAdvice,-,-,org.springframework:spring-web:4.3.7.RELEASE,org.springframework.stereotype.Component,public,org.springframework:spring-context:4.3.7.RELEASE,1
org.glassfish.jersey.message.internal.StringMessageProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToOffsetDateTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.apache.cxf.jaxrs.provider.JAXBElementProvider,-,-,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.Provider,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.glassfish.jersey.message.internal.InputStreamProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.beans.propertyeditors.PathEditor,-,-,org.springframework:spring-beans:4.3.7.RELEASE,org.springframework.lang.UsesJava7,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.jvnet.hk2.external.runtime.ServiceLocatorRuntimeBean,-,-,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.jvnet.hk2.annotations.Contract,public,org.glassfish.hk2:hk2-api:2.5.0-b05,1
org.glassfish.jersey.message.internal.SourceProvider$DomSourceReader,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.jvnet.hk2.internal.ServiceLocatorRuntimeImpl,-,-,org.glassfish.hk2:hk2-locator:2.5.0-b05,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.apache.cxf.transport.http.Address,-,-,org.apache.cxf:cxf-rt-transports-http:3.1.2,org.apache.cxf.common.injection.NoJSR250Annotations,public,org.apache.cxf:cxf-core:3.1.2,1
org.glassfish.jersey.process.internal.RequestScope,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.message.internal.SourceProvider$StreamSourceReader,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.hk2.internal.PerThreadContext,-,-,org.glassfish.hk2:hk2-api:2.5.0-b05,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.message.internal.SourceProvider$SourceWriter,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.message.internal.FileProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.message.internal.RenderedImageProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.format.datetime.standard.DateTimeConverters$LocalDateTimeToLocalDateConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.jersey.message.internal.BasicTypesMessageProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.format.datetime.standard.TemporalAccessorParser,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.jersey.message.internal.MediaTypeProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
com.google.common.collect.AbstractIndexedListIterator,-,-,com.google.guava:guava:19.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:18.0,1
org.springframework.format.datetime.standard.DateTimeConverters$OffsetDateTimeToInstantConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$OffsetDateTimeToZonedDateTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.jersey.internal.inject.ContextInjectionResolver,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToLocalTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.InstantFormatter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$CalendarToLocalTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
com.alibaba.fastjson.support.spring.FastJsonViewResponseBodyAdvice,-,-,com.alibaba:fastjson:1.2.76,org.springframework.web.bind.annotation.ControllerAdvice,public,org.springframework:spring-web:4.3.7.RELEASE,1
org.glassfish.hk2.api.PerLookup,-,-,org.glassfish.hk2:hk2-api:2.5.0-b05,javax.inject.Scope,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
com.alibaba.fastjson.support.spring.annotation.ResponseJSONP,-,-,com.alibaba:fastjson:1.2.76,org.springframework.web.bind.annotation.ResponseBody,public,org.springframework:spring-web:4.3.7.RELEASE,1
org.springframework.beans.propertyeditors.ZoneIdEditor,-,-,org.springframework:spring-beans:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.web.servlet.config.annotation.DelegatingWebMvcConfiguration,-,-,org.springframework:spring-webmvc:4.3.7.RELEASE,org.springframework.context.annotation.Configuration,public,org.springframework:spring-context:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeFormatterFactory,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.jersey.message.internal.FormProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
com.alibaba.fastjson.support.spring.JSONPResponseBodyAdvice,-,-,com.alibaba:fastjson:1.2.76,org.springframework.web.bind.annotation.ControllerAdvice,public,org.springframework:spring-web:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$InstantToLongConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeFormatterRegistrar,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.web.bind.annotation.RestController,-,-,org.springframework:spring-web:4.3.7.RELEASE,org.springframework.stereotype.Controller,public,org.springframework:spring-context:4.3.7.RELEASE,1
org.apache.cxf.transport.http.HTTPTransportFactory,-,-,org.apache.cxf:cxf-rt-transports-http:3.1.2,org.apache.cxf.common.injection.NoJSR250Annotations,public,org.apache.cxf:cxf-core:3.1.2,1
org.glassfish.jersey.process.internal.RequestScoped,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Scope,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.internal.inject.Custom,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Qualifier,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.format.datetime.standard.DateTimeConverters$OffsetDateTimeToLocalDateConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.PeriodFormatter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$LongToInstantConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.apache.cxf.jaxrs.provider.FormEncodingProvider,-,-,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.Provider,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.springframework.format.datetime.standard.DateTimeConverters$CalendarToOffsetDateTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.apache.cxf.jaxrs.provider.SourceProvider,-,-,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.Provider,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToLocalDateTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
com.alibaba.fastjson.support.spring.FastJsonpResponseBodyAdvice,-,-,com.alibaba:fastjson:1.2.76,org.springframework.web.bind.annotation.ControllerAdvice,public,org.springframework:spring-web:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$LocalDateTimeToLocalTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToInstantConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.TemporalAccessorPrinter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.apache.cxf.jaxrs.provider.MultipartProvider,-,-,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.Provider,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.jvnet.hk2.internal.SingletonContext,-,-,org.glassfish.hk2:hk2-locator:2.5.0-b05,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.model.internal.ManagedObjectsFinalizer,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.internal.inject.JerseyClassAnalyzer,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.format.datetime.standard.MonthDayFormatter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.Jsr310DateTimeFormatAnnotationFormatterFactory,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$CalendarToLocalDateConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$CalendarToInstantConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.jersey.message.internal.StreamingOutputProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.message.internal.ReaderProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.context.support.ContextTypeMatchClassLoader,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava7,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToLocalDateConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.hk2.api.Immediate,-,-,org.glassfish.hk2:hk2-api:2.5.0-b05,javax.inject.Scope,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.format.datetime.standard.DateTimeConverters$OffsetDateTimeToLocalDateTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.apache.cxf.jaxrs.provider.DataSourceProvider,-,-,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.Provider,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.glassfish.hk2.api.InheritableThread,-,-,org.glassfish.hk2:hk2-api:2.5.0-b05,javax.inject.Scope,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.logging.ClientLoggingFilter,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.ws.rs.container.PreMatching,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
