Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Label
org.apache.rocketmq.srvutil.FileWatchService::FileWatchService([Ljava/lang/String;Lorg/apache/rocketmq/srvutil/FileWatchService$Listener;)V	org.apache.rocketmq:rocketmq-srvutil:4.9.1	public	java.security.MessageDigest::getInstance(Ljava/lang/String;)Ljava/security/MessageDigest;	java.security	-	-	1	false	false	LibToLib
org.yaml.snakeyaml.introspector.PropertyUtils::isTransient(Ljava/beans/FeatureDescriptor;)Z	org.yaml:snakeyaml:1.19	public	java.util.logging.Logger::fine(Ljava/lang/String;)V	java.util.logging	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.common.AclUtils::combineRequestContent(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/util/SortedMap;)[B	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getBody()[B	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.common.AclSigner::signAndBase64Encode([BLjava/lang/String;Lorg/apache/rocketmq/acl/common/SigningAlgorithm;Ljava/nio/charset/Charset;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.codec.binary.Base64::encodeBase64([B)[B	commons-codec:commons-codec:1.9	org.apache.commons.codec.binary.Base64::encodeBase64([B)[B	commons-codec:commons-codec:1.9	1	false	false	ClientToLib
org.apache.rocketmq.acl.common.AclUtils::getAddresses(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.commons:commons-lang3:3.4	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.RemoteAddressStrategyFactory$RangeRemoteAddressStrategy::ipv6Analysis([Ljava/lang/String;I)Z	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.commons:commons-lang3:3.4	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.common.AclSigner::signAndBase64Encode(Ljava/lang/String;Ljava/lang/String;Lorg/apache/rocketmq/acl/common/SigningAlgorithm;Ljava/nio/charset/Charset;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.codec.binary.Base64::encodeBase64([B)[B	commons-codec:commons-codec:1.9	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::load()V	org.apache.rocketmq:rocketmq-acl:4.9.1	public	com.alibaba.fastjson.JSONObject::getJSONArray(Ljava/lang/String;)Lcom/alibaba/fastjson/JSONArray;	com.alibaba:fastjson:1.2.76	com.alibaba.fastjson.JSONObject::getJSONArray(Ljava/lang/String;)Lcom/alibaba/fastjson/JSONArray;	com.alibaba:fastjson:1.2.76	3	false	false	ClientToLib
org.apache.rocketmq.acl.common.AclSigner::signAndBase64Encode(Ljava/lang/String;Ljava/lang/String;Lorg/apache/rocketmq/acl/common/SigningAlgorithm;Ljava/nio/charset/Charset;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;Ljava/lang/Throwable;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	ClientToLib
com.alibaba.fastjson.serializer.CalendarCodec::createXMLGregorianCalendar(Ljava/util/Calendar;)Ljavax/xml/datatype/XMLGregorianCalendar;	com.alibaba:fastjson:1.2.76	public	javax.xml.datatype.DatatypeFactory::newXMLGregorianCalendar(Ljava/util/GregorianCalendar;)Ljavax/xml/datatype/XMLGregorianCalendar;	javax.xml.datatype	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.common.Permission::parseResourcePerms(Lorg/apache/rocketmq/acl/plain/PlainAccessResource;Ljava/lang/Boolean;Ljava/util/List;)V	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.commons:commons-lang3:3.4	-	-	1	false	false	ClientToLib
org.apache.rocketmq.common.ServiceThread::shutdown(Z)V	org.apache.rocketmq:rocketmq-common:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;Ljava/lang/Throwable;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.plain.PlainAccessValidator::parse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/acl/AccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.protocol.header.UpdateConsumerOffsetRequestHeader::getConsumerGroup()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainAccessValidator::parse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/acl/AccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getCode()I	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	2	false	false	ClientToLib
org.apache.rocketmq.remoting.protocol.RemotingCommand::decodeCommandCustomHeader(Ljava/lang/Class;)Lorg/apache/rocketmq/remoting/CommandCustomHeader;	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	LibToLib
org.apache.rocketmq.srvutil.FileWatchService::hash(Ljava/lang/String;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-srvutil:4.9.1	public	java.security.MessageDigest::update([B)V	java.security	-	-	1	false	false	LibToLib
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V	com.alibaba:fastjson:1.2.76	public	org.apache.rocketmq.common.PlainAccessConfig::setAccessKey(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.PlainAccessConfig::setAccessKey(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	2	true	false	LibToLib
org.apache.rocketmq.srvutil.FileWatchService::FileWatchService([Ljava/lang/String;Lorg/apache/rocketmq/srvutil/FileWatchService$Listener;)V	org.apache.rocketmq:rocketmq-srvutil:4.9.1	public	org.apache.commons.lang3.StringUtils::isNotEmpty(Ljava/lang/CharSequence;)Z	org.apache.commons:commons-lang3:3.4	-	-	1	false	false	LibToLib
org.apache.rocketmq.remoting.protocol.RemotingSerializable::toJson(Ljava/lang/Object;Z)Ljava/lang/String;	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	com.alibaba.fastjson.JSON::toJSONString(Ljava/lang/Object;Z)Ljava/lang/String;	com.alibaba:fastjson:1.2.76	com.alibaba.fastjson.JSON::toJSONString(Ljava/lang/Object;Z)Ljava/lang/String;	com.alibaba:fastjson:1.2.76	1	false	false	LibToLib
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V	com.alibaba:fastjson:1.2.76	public	org.apache.rocketmq.common.PlainAccessConfig::setSecretKey(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.PlainAccessConfig::setSecretKey(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	2	true	false	LibToLib
javax.xml.parsers.SAXParser::parse(Lorg/xml/sax/InputSource;Lorg/xml/sax/HandlerBase;)V	javax.xml.parsers	public	org.xml.sax.Parser::setErrorHandler(Lorg/xml/sax/ErrorHandler;)V	org.xml.sax	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::buildPlainAccessResource(Lorg/apache/rocketmq/common/PlainAccessConfig;)Lorg/apache/rocketmq/acl/plain/PlainAccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::getSecretKey()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainAccessValidator::parse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/acl/AccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::decodeCommandCustomHeader(Ljava/lang/Class;)Lorg/apache/rocketmq/remoting/CommandCustomHeader;	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	3	false	false	ClientToLib
org.apache.rocketmq.common.ServiceThread::stop(Z)V	org.apache.rocketmq:rocketmq-common:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::info(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	LibToLib
org.apache.rocketmq.common.ServiceThread::waitForRunning(J)V	org.apache.rocketmq:rocketmq-common:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;Ljava/lang/Throwable;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::watch()V	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.srvutil.FileWatchService::start()V	org.apache.rocketmq:rocketmq-srvutil:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.RemoteAddressStrategyFactory$RangeRemoteAddressStrategy::match(Lorg/apache/rocketmq/acl/plain/PlainAccessResource;)Z	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.validator.routines.InetAddressValidator::isValidInet6Address(Ljava/lang/String;)Z	commons-validator:commons-validator:1.7	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.common.Permission::parseResourcePerms(Lorg/apache/rocketmq/acl/plain/PlainAccessResource;Ljava/lang/Boolean;Ljava/util/List;)V	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.commons:commons-lang3:3.4	org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.commons:commons-lang3:3.4	6	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::load()V	org.apache.rocketmq:rocketmq-acl:4.9.1	public	com.alibaba.fastjson.JSONObject::isEmpty()Z	com.alibaba:fastjson:1.2.76	com.alibaba.fastjson.JSONObject::isEmpty()Z	com.alibaba:fastjson:1.2.76	1	false	false	ClientToLib
org.apache.rocketmq.acl.common.AclUtils::combineRequestContent(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/util/SortedMap;)[B	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getBody()[B	org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.remoting.protocol.RemotingCommand::getBody()[B	org.apache.rocketmq:rocketmq-remoting:4.9.1	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::buildPlainAccessResource(Lorg/apache/rocketmq/common/PlainAccessConfig;)Lorg/apache/rocketmq/acl/plain/PlainAccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::getWhiteRemoteAddress()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
javax.xml.parsers.SAXParser::parse(Lorg/xml/sax/InputSource;Lorg/xml/sax/HandlerBase;)V	javax.xml.parsers	public	org.xml.sax.Parser::setDTDHandler(Lorg/xml/sax/DTDHandler;)V	org.xml.sax	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::deleteAccessConfig(Ljava/lang/String;)Z	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	2	false	false	ClientToLib
org.apache.rocketmq.common.UtilAll::ipCheck([B)Z	org.apache.rocketmq:rocketmq-common:4.9.1	public	org.apache.commons.validator.routines.InetAddressValidator::getInstance()Lorg/apache/commons/validator/routines/InetAddressValidator;	commons-validator:commons-validator:1.7	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::checkPlainAccessConfig(Lorg/apache/rocketmq/common/PlainAccessConfig;)V	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::getAccessKey()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	3	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::buildPlainAccessResource(Lorg/apache/rocketmq/common/PlainAccessConfig;)Lorg/apache/rocketmq/acl/plain/PlainAccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::isAdmin()Z	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.PlainAccessConfig::isAdmin()Z	org.apache.rocketmq:rocketmq-common:4.9.1	2	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::updateAccessConfig(Lorg/apache/rocketmq/common/PlainAccessConfig;)Z	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::getTopicPerms()Ljava/util/List;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainAccessValidator::parse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/acl/AccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getExtFields()Ljava/util/HashMap;	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	12	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainAccessValidator::parse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/acl/AccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.protocol.heartbeat.ConsumerData::getSubscriptionDataSet()Ljava/util/Set;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.common.UtilAll::jstack(Ljava/util/Map;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	public	org.apache.rocketmq.remoting.common.RemotingHelper::exceptionSimpleDesc(Ljava/lang/Throwable;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	1	false	false	LibToLib
org.apache.rocketmq.common.MixAll::string2Properties(Ljava/lang/String;)Ljava/util/Properties;	org.apache.rocketmq:rocketmq-common:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;Ljava/lang/Throwable;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	LibToLib
org.apache.rocketmq.common.ServiceThread::start()V	org.apache.rocketmq:rocketmq-common:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::info(Ljava/lang/String;[Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	org.apache.rocketmq.logging.Slf4jLoggerFactory$Slf4jLogger::info(Ljava/lang/String;[Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	1	false	false	LibToLib
org.apache.rocketmq.acl.plain.RemoteAddressStrategyFactory::getRemoteAddressStrategy(Ljava/lang/String;)Lorg/apache/rocketmq/acl/plain/RemoteAddressStrategy;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.lang3.StringUtils::isBlank(Ljava/lang/CharSequence;)Z	org.apache.commons:commons-lang3:3.4	org.apache.commons.lang3.StringUtils::isBlank(Ljava/lang/CharSequence;)Z	org.apache.commons:commons-lang3:3.4	4	false	false	ClientToLib
org.apache.rocketmq.remoting.protocol.RemotingSerializable::toJson(Ljava/lang/Object;Z)Ljava/lang/String;	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	com.alibaba.fastjson.JSON::toJSONString(Ljava/lang/Object;Z)Ljava/lang/String;	com.alibaba:fastjson:1.2.76	-	-	1	false	false	LibToLib
org.apache.rocketmq.srvutil.FileWatchService::hash(Ljava/lang/String;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-srvutil:4.9.1	public	org.apache.rocketmq.common.UtilAll::bytes2string([B)Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.UtilAll::bytes2string([B)Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	1	false	false	LibToLib
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V	com.alibaba:fastjson:1.2.76	public	org.apache.rocketmq.common.PlainAccessConfig::setTopicPerms(Ljava/util/List;)V	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.PlainAccessConfig::setTopicPerms(Ljava/util/List;)V	org.apache.rocketmq:rocketmq-common:4.9.1	1	true	false	LibToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::buildPlainAccessResource(Lorg/apache/rocketmq/common/PlainAccessConfig;)Lorg/apache/rocketmq/acl/plain/PlainAccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::isAdmin()Z	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::createAclAccessConfigMap(Ljava/util/Map;Lorg/apache/rocketmq/common/PlainAccessConfig;)Ljava/util/Map;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::getDefaultGroupPerm()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	2	false	false	ClientToLib
com.alibaba.fastjson.parser.deserializer.TimeDeserializer::deserialze(Lcom/alibaba/fastjson/parser/DefaultJSONParser;Ljava/lang/reflect/Type;Ljava/lang/Object;)Ljava/lang/Object;	com.alibaba:fastjson:1.2.76	public	java.sql.Time::valueOf(Ljava/lang/String;)Ljava/sql/Time;	java.sql	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::checkPlainAccessConfig(Lorg/apache/rocketmq/common/PlainAccessConfig;)V	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::getSecretKey()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	3	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainAccessResource::toString()Ljava/lang/String;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.lang3.builder.ToStringBuilder::reflectionToString(Ljava/lang/Object;)Ljava/lang/String;	org.apache.commons:commons-lang3:3.4	-	-	1	false	false	ClientToLib
org.apache.rocketmq.common.UtilAll::getDiskPartitionSpaceUsedPercent(Ljava/lang/String;)D	org.apache.rocketmq:rocketmq-common:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	2	false	false	LibToLib
org.apache.rocketmq.acl.plain.RemoteAddressStrategyFactory$RangeRemoteAddressStrategy::match(Lorg/apache/rocketmq/acl/plain/PlainAccessResource;)Z	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.validator.routines.InetAddressValidator::isValidInet4Address(Ljava/lang/String;)Z	commons-validator:commons-validator:1.7	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.common.AclUtils::isScope(Ljava/lang/String;I)Z	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.commons:commons-lang3:3.4	org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.commons:commons-lang3:3.4	4	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::buildPlainAccessResource(Lorg/apache/rocketmq/common/PlainAccessConfig;)Lorg/apache/rocketmq/acl/plain/PlainAccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::getGroupPerms()Ljava/util/List;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;	com.alibaba:fastjson:1.2.76	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getExtFields()Ljava/util/HashMap;	org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.remoting.protocol.RemotingCommand::getExtFields()Ljava/util/HashMap;	org.apache.rocketmq:rocketmq-remoting:4.9.1	1	true	false	LibToLib
org.apache.rocketmq.acl.common.AclUtils::getAclRPCHook(Ljava/lang/String;)Lorg/apache/rocketmq/remoting/RPCHook;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.lang3.StringUtils::isBlank(Ljava/lang/CharSequence;)Z	org.apache.commons:commons-lang3:3.4	-	-	2	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainAccessValidator::parse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/acl/AccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.protocol.heartbeat.HeartbeatData::getConsumerDataSet()Ljava/util/Set;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.RemoteAddressStrategyFactory$RangeRemoteAddressStrategy::match(Lorg/apache/rocketmq/acl/plain/PlainAccessResource;)Z	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.validator.routines.InetAddressValidator::getInstance()Lorg/apache/commons/validator/routines/InetAddressValidator;	commons-validator:commons-validator:1.7	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::getAclConfigDataVersion()Ljava/lang/String;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.DataVersion::toJson()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
javax.xml.parsers.SAXParser::parse(Lorg/xml/sax/InputSource;Lorg/xml/sax/helpers/DefaultHandler;)V	javax.xml.parsers	public	org.xml.sax.XMLReader::setEntityResolver(Lorg/xml/sax/EntityResolver;)V	org.xml.sax	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::buildPlainAccessResource(Lorg/apache/rocketmq/common/PlainAccessConfig;)Lorg/apache/rocketmq/acl/plain/PlainAccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::getAccessKey()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::buildPlainAccessResource(Lorg/apache/rocketmq/common/PlainAccessConfig;)Lorg/apache/rocketmq/acl/plain/PlainAccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::getDefaultGroupPerm()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.PlainAccessConfig::getDefaultGroupPerm()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	2	false	false	ClientToLib
org.apache.rocketmq.common.ServiceThread::shutdown(Z)V	org.apache.rocketmq:rocketmq-common:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::info(Ljava/lang/String;[Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	LibToLib
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V	com.alibaba:fastjson:1.2.76	public	org.apache.rocketmq.common.PlainAccessConfig::setDefaultTopicPerm(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.PlainAccessConfig::setDefaultTopicPerm(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	1	true	false	LibToLib
