Callee Library,Field Name,Declared Class,Actual Class,Field Signature,Static,Visibility,Field Library,Reflective,Count
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::SO_RCVBUF,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Integer>,true,public,io.netty:netty-all:4.1.65.Final,false,2
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::CONNECT_TIMEOUT_MILLIS,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Integer>,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.util.internal.logging.InternalLogLevel::INFO,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,true,public,io.netty:netty-all:4.1.65.Final,false,7
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.handler.ssl.ClientAuth::OPTIONAL,io.netty.handler.ssl.ClientAuth,io.netty.handler.ssl.ClientAuth,io.netty.handler.ssl.ClientAuth,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::TCP_NODELAY,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Boolean>,true,public,io.netty:netty-all:4.1.65.Final,false,2
org.apache.rocketmq:rocketmq-remoting:4.9.1,org.apache.rocketmq.remoting.RequestHeader::count,org.apache.rocketmq.remoting.RequestHeader,org.apache.rocketmq.remoting.RequestHeader,java.lang.Integer,false,private,unknownLib,true,14
org.apache.rocketmq:rocketmq-remoting:4.9.1,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader::longValue,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader,long,false,private,unknownLib,true,2
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.util.internal.logging.InternalLogLevel::WARN,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,true,public,io.netty:netty-all:4.1.65.Final,false,7
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::SO_REUSEADDR,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Boolean>,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.handler.timeout.IdleState::ALL_IDLE,io.netty.handler.timeout.IdleState,io.netty.handler.timeout.IdleState,io.netty.handler.timeout.IdleState,true,public,io.netty:netty-all:4.1.65.Final,false,2
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.handler.ssl.ClientAuth::NONE,io.netty.handler.ssl.ClientAuth,io.netty.handler.ssl.ClientAuth,io.netty.handler.ssl.ClientAuth,true,public,io.netty:netty-all:4.1.65.Final,false,2
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.util.internal.logging.InternalLogLevel::ERROR,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,true,public,io.netty:netty-all:4.1.65.Final,false,7
org.apache.rocketmq:rocketmq-remoting:4.9.1,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader::booleanValue,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader,boolean,false,private,unknownLib,true,2
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::SO_BACKLOG,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Integer>,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.handler.ssl.SslProvider::JDK,io.netty.handler.ssl.SslProvider,io.netty.handler.ssl.SslProvider,io.netty.handler.ssl.SslProvider,true,public,io.netty:netty-all:4.1.65.Final,false,3
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.util.internal.logging.InternalLogLevel::DEBUG,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,true,public,io.netty:netty-all:4.1.65.Final,false,7
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::SO_KEEPALIVE,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Boolean>,true,public,io.netty:netty-all:4.1.65.Final,false,2
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::ALLOCATOR,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<io.netty.buffer.ByteBufAllocator>,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.handler.ssl.SslProvider::OPENSSL,io.netty.handler.ssl.SslProvider,io.netty.handler.ssl.SslProvider,io.netty.handler.ssl.SslProvider,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,org.apache.rocketmq.remoting.RequestHeader::messageTitle,org.apache.rocketmq.remoting.RequestHeader,org.apache.rocketmq.remoting.RequestHeader,java.lang.String,false,private,unknownLib,true,14
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.util.internal.logging.InternalLogLevel::TRACE,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,true,public,io.netty:netty-all:4.1.65.Final,false,7
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.handler.ssl.util.InsecureTrustManagerFactory::INSTANCE,io.netty.handler.ssl.util.InsecureTrustManagerFactory,io.netty.handler.ssl.util.InsecureTrustManagerFactory,javax.net.ssl.TrustManagerFactory,true,public,io.netty:netty-all:4.1.65.Final,false,3
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.buffer.PooledByteBufAllocator::DEFAULT,io.netty.buffer.PooledByteBufAllocator,io.netty.buffer.PooledByteBufAllocator,io.netty.buffer.PooledByteBufAllocator,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::SO_SNDBUF,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Integer>,true,public,io.netty:netty-all:4.1.65.Final,false,2
org.apache.rocketmq:rocketmq-remoting:4.9.1,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader::doubleValue,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader,double,false,private,unknownLib,true,2
org.apache.rocketmq:rocketmq-remoting:4.9.1,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader::stringValue,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader,java.lang.String,false,private,unknownLib,true,2
org.apache.rocketmq:rocketmq-remoting:4.9.1,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader::intValue,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader,org.apache.rocketmq.remoting.protocol.ExtFieldsHeader,int,false,private,unknownLib,true,2
