Class	Method	Field Name:Field Signature	Annotated In Library	Annotation	Annotation Visibility	Annotation Library	Count
org.glowroot.common.model.TransactionNameSummaryCollector$TransactionNameSummary	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.ThinClassVisitor$ThinClass	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.repo.IncidentRepository$ResolvedIncident	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.repo.IncidentRepository$OpenIncident	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.embedded.repo.AggregateDao$MutableOverallAggregate	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.agent.weaving.ShimType	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.ThinClassVisitor$ThinMethod	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.AnalyzedWorld$ParseContext	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.agent.weaving.AnalyzedWorld$AnalyzedClassAndLoader	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.common2.config.EmbeddedStorageConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common.live.LiveAggregateRepository$PercentileAggregate	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.embedded.util.Schemas$Index	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
com.google.common.collect.ImmutableMap$Builder	-	-	com.google.guava:guava:31.0.1-jre	com.google.errorprone.annotations.DoNotMock	public	com.google.errorprone:error_prone_annotations:2.9.0	1
org.glowroot.agent.embedded.util.Schemas$Column	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
com.google.common.math.MathPreconditions	-	-	com.google.guava:guava:31.0.1-jre	com.google.errorprone.annotations.CanIgnoreReturnValue	public	com.google.errorprone:error_prone_annotations:2.9.0	1
org.glowroot.agent.weaving.PluginDetail$PointcutClass	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.embedded.repo.TracePointQueryBuilder$ParameterizedSql	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.common2.config.SmtpConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.config.EmbeddedAdminGeneralConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.embedded.util.Schemas$Index	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.repo.ConfigRepository$RollupConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common.live.LiveTraceRepository$EntriesAndQueries	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.Advice$AdviceParameter	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.WeavingMethodVisitor$CatchHandler	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.common2.repo.MutableAggregate	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$Private	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.agent.weaving.ClassAnalyzer$MatchedMixinTypes	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common.config.UiDefaultsConfig	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.embedded.repo.AggregateDao$MutableTransactionAggregate	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.common.live.LiveAggregateRepository$SummaryQuery	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.ClassLoaders$LazyDefinedClass	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.repo.TraceRepository$ErrorMessageResult	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.impl.TimerImpl	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$Private	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.common.live.LiveTraceRepository$TracePoint	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.embedded.util.CappedDatabase$CappedBlockCharSource	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.OnlyUsedByTests	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.agent.weaving.AnalyzedWorld$AnalyzedClassAndLoader	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.config.CentralWebConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.embedded.util.Schemas$Column	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common.config.JvmConfig	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common.live.LiveAggregateRepository$AggregateQuery	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.ClassAnalyzer$AnalyzedMethodKey	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.repo.TraceRepository$TraceQuery	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.repo.TraceRepository$HeaderPlus	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common.live.LiveTraceRepository$TracePointFilter	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.config.HealthchecksIoConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.embedded.repo.TracePointQueryBuilder$ParameterizedSql	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.config.RoleConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.config.HttpProxyConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common.live.LiveAggregateRepository$OverviewAggregate	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.AdviceMatcher	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.common2.config.UserConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
com.google.common.collect.ImmutableCollection$Builder	-	-	com.google.guava:guava:31.0.1-jre	com.google.errorprone.annotations.DoNotMock	public	com.google.errorprone:error_prone_annotations:2.9.0	1
org.glowroot.common.config.TransactionConfig	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common.config.InstrumentationConfig	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.model.TimerNameImpl	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.agent.weaving.AnalyzedMethod	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.WeavingClassVisitor$MethodMetaGroup	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.AnalyzedWorld$ParseContext	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.embedded.repo.AggregateDao$MutableTransactionAggregate	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.config.CentralStorageConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.config.AllEmbeddedAdminConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
com.google.common.hash.PrimitiveSink	-	-	com.google.guava:guava:31.0.1-jre	com.google.errorprone.annotations.CanIgnoreReturnValue	public	com.google.errorprone:error_prone_annotations:2.9.0	1
org.glowroot.common2.config.AllCentralAdminConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.model.TimerNameImpl	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.embedded.repo.AggregateDao$MutableOverallAggregate	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.AdviceMatcher	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.AnalyzedClass	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.Advice	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.config.CentralAdminGeneralConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.MixinType	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common.config.AdvancedConfig	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.config.EmbeddedWebConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.config.LdapConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.PublicFinalMethod	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.PluginDetail$PointcutMethod	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.config.PluginDescriptor	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.config.PluginCache	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.repo.ConfigRepository$RollupConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.common2.config.PagerDutyConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.config.SlackConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.WeavingMethodVisitor$CatchHandler	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
